year,bioenergy,biofuels,biogas,ren_mun_waste,renewables,solid_biomass,total
2002,"72605,18286","2700,988416","1504,987128","2344,984812","82074,55215599999","66330,00702","1797716,293488"
2003,"71296,17984000001","2589,996348","1728,9809280000002","2413,020312","77038,1667","64914,99422400001","1877373,722268"
2004,"76443,01307999999","1331,988552","2102,987772","2505,004308","84763,817532","70988,994324","1925321,458284"
2005,"78234,461064","110,99206799999999","2335,0202280000008","2345,989644","87948,21387600001","73848,99740400001","1906456,742316"
2006,"82671,00368400001","757,015308","2656,985148","2241,989532","93424,715748","77512,99168800001","1949632,5311640003"
2007,"88199,92429200003","1258,007796","3189,0018240000004","2458,991376","98155,213596","82085,01915600001","1945516,069404"
2008,"96307,620624","4501,982304","3770,00406","2404,018692","106723,039248","86349,98671200001","1909673,16768"
2009,"107542,52161199998","8154,965304","5439,992976","2230,015284","120635,775648","92824,99851599999","1793745,029952"
2010,"115848,714132","9682,016868","7397,991864","2624,997996","133042,01767200002","97501,98906","1909122,519744"
2011,"125312,096304","12565,005480000002","10460,008044","3345,0019920000004","146460,75354","100843,013592","1833278,7214799998"
2012,"134564,254416","11524,920624000002","15697,98792","3504,0166560000002","157339,73466000002","106218,99039600001","1820016,990612"
2013,"147195,49507200002","11709,977184000005","23910,019308000006","3471,9876360000007","173009,33607599998","110948,985828","1830654,518976"
2014,"154736,005608","13325,998248000005","25457,00004","3452,979564","178795,661148","115683,000588","1767032,408592"
2015,"159150,81873600002","12387,024612000001","25680,993840000006","3341,987496","183665,328228","120319,00235999998","1773830,5994880004"
2016,"160752,85588800002","12606,999084","25160,99328","3581,0119080000004","185719,874724","121665,016692","1757028,887352"
2017,"163754,62401600002","13139,978723999999","25443,769752000004","3853,446984","190169,89884","124000,99988400002","1819779,2222400003"
2018,"163922,43096","12924,986544","25279,144776000005","3668,809104","191328,26079600002","124801,26483600002","1823423,2873560002"
