Rok,CZ,AT,DK,NL,PL,SK
2002,"227,217636","8231,2488","8975,494368000001","7925,319324000001","47,645784","113,294808"
2003,"1294,265484","9013,552380000001","11489,709636000001","5659,883712","53,842248000000005","98,641008"
2004,"913,14108","12976,023636000002","16376,793804","14521,790196","122,128956","20,599056"
2005,"2042,9909280000002","15944,841648000001","23039,876664","30562,258356000002","173,71033200000002","330,673464"
2006,"2010,2501520000003","30300,122808000004","21556,619028","29407,706388","284,576796","1230,50052"
2007,"1749,370644","34281,853344","23881,967748","31186,4265","1121,64372","2766,63744"
2008,"4739,24826","33639,305148","29680,727616000004","40301,383176","7330,2494400000005","2558,092932"
2009,"5175,596556","39358,557684","31293,859788","33501,852504","10391,679468","2667,075336"
2010,"5706,81774","39989,717784","44058,282552000004","33712,155468000004","19331,418564000003","2284,31808"
2011,"9249,311088","46584,890748000005","50783,916204","37351,07082","23373,145944000004","2731,9707359999998"
2012,"10354,626288000001","44971,381764000005","61168,352508","41762,576376","10333,776024","2858,705172"
2013,"11589,020532","46695,715344000004","58830,150312000005","33144,048576","8837,581176","3119,877756"
2014,"13824,185580000001","46660,8393","62554,936932","30164,763564","43306,751952000006","5329,922004"
2015,"18643,778532","47114,562816","61034,374908","29360,688624000002","40072,323348","7565,882544"
2016,"20898,872748","42598,973412","69933,753252","29108,433924000004","37260,84528","7358,635944000001"
2017,"21936,487392","42491,665728","88632,12765600001","28531,702224","33640,51932","8451,097668"
2018,"20343,326256","46039,81125600001","87731,42137200001","32024,288915999998","39538,087668","7459,998372"
